timestamp,"price,",quantity,buyermm
1592008935217,"""9443.52000000""","""0.04478900""",true
1592008935531,"""9443.07000000""","""0.01923000""",true
1592008935586,null,null,null
1592008936060,"""9443.45000000""","""0.05011600""",true
1592008936167,"""9443.45000000""","""0.00943300""",true
1592008936399,"""9444.13000000""","""0.02969000""",true
1592008936505,"""9444.13000000""","""0.05850300""",true
1592008936586,null,null,null
1592008936595,"""9444.13000000""","""0.00250000""",true
1592008937586,null,null,null
1592008938586,null,null,null
1592008939120,"""9443.42000000""","""0.04544200""",true
1592008939120,"""9443.42000000""","""0.00269400""",true
1592008939247,"""9443.98000000""","""0.01067000""",false
1592008939247,"""9443.99000000""","""0.01609000""",false
1592008939586,null,null,null
1592008940164,"""9443.43000000""","""0.01000000""",true
1592008940586,null,null,null
1592008941025,"""9443.87000000""","""0.10124500""",false
1592008941025,"""9444.16000000""","""0.00985100""",false
1592008941025,"""9444.16000000""","""0.01878400""",false
1592008941025,"""9444.39000000""","""0.06252900""",false
1592008941025,"""9444.40000000""","""0.09201600""",false
1592008941025,"""9444.42000000""","""0.04732400""",false
1592008941025,"""9444.54000000""","""0.06825100""",false
1592008941151,"""9444.45000000""","""0.00250000""",true
1592008941152,"""9444.45000000""","""0.04999300""",true
1592008941474,"""9442.87000000""","""0.05462000""",true
1592008941586,null,null,null
1592008942169,"""9443.14000000""","""0.09201600""",false
1592008942586,null,null,null
1592008943586,null,null,null
1592008944097,"""9442.74000000""","""0.04902500""",true
1592008944130,"""9442.11000000""","""0.00423700""",true
1592008944130,"""9442.11000000""","""0.00423700""",true
1592008944131,"""9442.11000000""","""0.00423700""",true
1592008944131,"""9442.11000000""","""0.00423700""",true
1592008944132,"""9442.11000000""","""0.00423700""",true
1592008944132,"""9442.11000000""","""0.00423700""",true
1592008944132,"""9442.11000000""","""0.00423700""",true
1592008944134,"""9442.11000000""","""0.00423700""",true
1592008944135,"""9442.11000000""","""0.00423700""",true
1592008944137,"""9442.11000000""","""0.00423700""",true
1592008944137,"""9442.11000000""","""0.00262800""",true
1592008944137,"""9442.06000000""","""0.00160900""",true
1592008944138,"""9442.06000000""","""0.00050800""",true
1592008944138,"""9441.81000000""","""0.00372900""",true
1592008944139,"""9441.81000000""","""0.00423700""",true
1592008944140,"""9441.81000000""","""0.00423700""",true
1592008944140,"""9441.81000000""","""0.00423700""",true
1592008944141,"""9441.81000000""","""0.00423700""",true
1592008944141,"""9441.81000000""","""0.00423700""",true
1592008944142,"""9441.81000000""","""0.00423700""",true
1592008944143,"""9441.81000000""","""0.00423700""",true
1592008944144,"""9441.81000000""","""0.00423700""",true
1592008944145,"""9441.81000000""","""0.00423700""",true
1592008944148,"""9441.81000000""","""0.00423700""",true
1592008944150,"""9441.81000000""","""0.00423700""",true
1592008944151,"""9441.81000000""","""0.00423700""",true
1592008944152,"""9441.81000000""","""0.00626400""",true
1592008944152,"""9441.81000000""","""0.00423700""",true
1592008944154,"""9441.81000000""","""0.00423700""",true
1592008944156,"""9441.81000000""","""0.00423700""",true
1592008944157,"""9441.81000000""","""0.00423700""",true
1592008944159,"""9441.81000000""","""0.00423700""",true
1592008944159,"""9441.81000000""","""0.00423700""",true
1592008944160,"""9441.81000000""","""0.00423700""",true
1592008944161,"""9441.81000000""","""0.00423700""",true
1592008944162,"""9441.81000000""","""0.01454800""",true
1592008944165,"""9441.81000000""","""0.00423700""",true
1592008944168,"""9441.81000000""","""0.00423700""",true
1592008944168,"""9441.81000000""","""0.00423700""",true
1592008944169,"""9441.81000000""","""0.00423700""",true
1592008944171,"""9441.81000000""","""0.00423700""",true
1592008944172,"""9441.81000000""","""0.00423700""",true
1592008944176,"""9441.81000000""","""0.00423700""",true
1592008944177,"""9441.81000000""","""0.00423700""",true
1592008944177,"""9441.81000000""","""0.00038500""",true
1592008944177,"""9441.79000000""","""0.00385200""",true
1592008944178,"""9441.79000000""","""0.00423700""",true
1592008944178,"""9441.79000000""","""0.00423700""",true
1592008944178,"""9441.79000000""","""0.00423700""",true
1592008944187,"""9441.79000000""","""0.00412600""",true
1592008944187,"""9441.72000000""","""0.00011100""",true
1592008944213,"""9442.75000000""","""0.01560000""",true
1592008944234,"""9442.75000000""","""0.08343200""",true
1592008944246,"""9442.75000000""","""0.00596800""",true
1592008944269,"""9442.11000000""","""0.00038600""",false
1592008944269,"""9442.76000000""","""0.02028400""",false
1592008944306,"""9442.76000000""","""0.00290500""",false
1592008944416,"""9442.11000000""","""0.05834500""",true
1592008944416,"""9441.78000000""","""0.08000000""",true
1592008944416,"""9441.72000000""","""0.03453900""",true
1592008944586,null,null,null
1592008945234,"""9442.40000000""","""0.00250000""",false
